Balloon filename (gpx),station,expected timeframe
SMT_20220724_231539.gpx,11,2022-07-24 23:19:27+00:00 till 2022-07-24 23:21:58+00:00
SMT_20220724_231539.gpx,13,2022-07-25 00:19:35+00:00 till 2022-07-25 00:32:09+00:00
SMT_20220829_231438.gpx,22,2022-08-29 23:16:29+00:00 till 2022-08-29 23:16:42+00:00
SMT_20220829_231438.gpx,23,2022-08-29 23:17:39+00:00 till 2022-08-29 23:18:04+00:00
SMT_20220829_231438.gpx,24,2022-08-29 23:18:59+00:00 till 2022-08-29 23:19:22+00:00
SMT_20220916_231807.gpx,21,2022-09-16 23:19:09+00:00 till 2022-09-16 23:19:17+00:00
SMT_20220916_231807.gpx,22,2022-09-16 23:21:13+00:00 till 2022-09-16 23:22:03+00:00
SMT_20220816_232314.gpx,22,2022-08-16 23:33:11+00:00 till 2022-08-16 23:37:34+00:00
SMT_20220907_112500.gpx,23,2022-09-07 11:28:37+00:00 till 2022-09-07 11:28:59+00:00
SMT_20220907_112500.gpx,24,2022-09-07 11:29:35+00:00 till 2022-09-07 11:29:53+00:00
SMT_20220628_231514.gpx,12,2022-06-28 23:19:37+00:00 till 2022-06-28 23:20:55+00:00
SMT_20220630_112143.gpx,21,2022-06-30 12:21:02+00:00 till 2022-06-30 12:46:53+00:00
SMT_20220630_112143.gpx,12,2022-06-30 12:26:35+00:00 till 2022-06-30 12:48:30+00:00
SMT_20220630_112143.gpx,11,2022-06-30 12:25:33+00:00 till 2022-06-30 12:48:30+00:00
SMT_20220630_112143.gpx,13,2022-06-30 12:28:56+00:00 till 2022-06-30 12:48:30+00:00
SMT_20220630_112143.gpx,22,2022-06-30 12:23:21+00:00 till 2022-06-30 12:47:42+00:00
SMT_20220630_112143.gpx,23,2022-06-30 12:26:20+00:00 till 2022-06-30 12:47:25+00:00
SMT_20220630_112143.gpx,24,2022-06-30 12:30:34+00:00 till 2022-06-30 12:46:14+00:00
SMT_20220725_231505.gpx,21,2022-07-25 23:17:47+00:00 till 2022-07-26 00:53:39+00:00
SMT_20220725_231505.gpx,12,2022-07-26 00:38:19+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220725_231505.gpx,11,2022-07-26 00:45:41+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220725_231505.gpx,13,2022-07-26 00:34:56+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220725_231505.gpx,22,2022-07-25 23:21:41+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220725_231505.gpx,23,2022-07-25 23:25:16+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220725_231505.gpx,24,2022-07-26 00:25:43+00:00 till 2022-07-26 00:55:04+00:00
SMT_20220703_111803.gpx,22,2022-07-03 11:40:24+00:00 till 2022-07-03 11:42:55+00:00
SMT_20220703_111803.gpx,23,2022-07-03 11:42:26+00:00 till 2022-07-03 11:49:33+00:00
SMT_20220703_111803.gpx,24,2022-07-03 11:45:29+00:00 till 2022-07-03 11:52:37+00:00
SMT_20220820_111609.gpx,21,2022-08-20 11:19:36+00:00 till 2022-08-20 11:21:16+00:00
SMT_20220820_111609.gpx,12,2022-08-20 11:24:02+00:00 till 2022-08-20 11:26:23+00:00
SMT_20220624_231528.gpx,12,2022-06-25 00:33:09+00:00 till 2022-06-25 00:40:51+00:00
SMT_20220624_231528.gpx,13,2022-06-25 00:28:45+00:00 till 2022-06-25 00:40:56+00:00
SMT_20220624_231528.gpx,22,2022-06-25 00:31:15+00:00 till 2022-06-25 00:34:40+00:00
SMT_20220624_231528.gpx,23,2022-06-25 00:24:52+00:00 till 2022-06-25 00:40:56+00:00
SMT_20220624_231528.gpx,24,2022-06-25 00:23:18+00:00 till 2022-06-25 00:40:56+00:00
SMT_20220701_111515.gpx,11,2022-07-01 11:21:58+00:00 till 2022-07-01 11:26:31+00:00
SMT_20220930_111518.gpx,12,2022-09-30 11:19:46+00:00 till 2022-09-30 11:20:04+00:00
SMT_20220821_111511.gpx,21,2022-08-21 12:30:15+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220821_111511.gpx,12,2022-08-21 12:37:45+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220821_111511.gpx,11,2022-08-21 12:37:28+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220821_111511.gpx,13,2022-08-21 12:39:39+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220821_111511.gpx,22,2022-08-21 12:31:58+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220821_111511.gpx,23,2022-08-21 12:33:47+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220821_111511.gpx,24,2022-08-21 12:39:51+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220813_112235.gpx,21,2022-08-13 11:12:14+00:00 till 2022-08-13 11:12:14+00:00
SMT_20220714_231645.gpx,12,2022-07-14 23:33:22+00:00 till 2022-07-14 23:38:49+00:00
SMT_20220714_231645.gpx,11,2022-07-14 23:27:54+00:00 till 2022-07-14 23:35:34+00:00
SMT_20220714_231645.gpx,13,2022-07-14 23:37:48+00:00 till 2022-07-14 23:46:03+00:00
SMT_20220723_231622.gpx,21,2022-07-23 23:21:03+00:00 till 2022-07-23 23:30:26+00:00
SMT_20220723_231622.gpx,22,2022-07-23 23:30:12+00:00 till 2022-07-23 23:35:27+00:00
SMT_20220723_231622.gpx,23,2022-07-23 23:33:26+00:00 till 2022-07-23 23:37:57+00:00
SMT_20220723_231622.gpx,24,2022-07-23 23:36:33+00:00 till 2022-07-23 23:39:18+00:00
SMT_20220701_231934.gpx,22,2022-07-01 23:08:19+00:00 till 2022-07-01 23:08:19+00:00
SMT_20220701_231934.gpx,23,2022-07-01 23:08:19+00:00 till 2022-07-01 23:08:19+00:00
SMT_20220830_231921.gpx,12,2022-08-30 23:22:15+00:00 till 2022-08-30 23:22:31+00:00
SMT_20220706_231615.gpx,22,2022-07-07 00:34:24+00:00 till 2022-07-07 00:35:15+00:00
SMT_20220706_231615.gpx,23,2022-07-07 00:33:30+00:00 till 2022-07-07 00:35:15+00:00
SMT_20220706_231615.gpx,24,2022-07-07 00:33:50+00:00 till 2022-07-07 00:35:15+00:00
SMT_20220728_112143.gpx,12,2022-07-28 11:36:04+00:00 till 2022-07-28 11:38:16+00:00
SMT_20220728_112143.gpx,11,2022-07-28 11:32:06+00:00 till 2022-07-28 11:36:28+00:00
SMT_20220728_112143.gpx,13,2022-07-28 11:37:48+00:00 till 2022-07-28 11:39:49+00:00
SMT_20220716_111633.gpx,21,2022-07-16 12:05:05+00:00 till 2022-07-16 12:20:22+00:00
SMT_20220716_111633.gpx,12,2022-07-16 12:10:53+00:00 till 2022-07-16 12:24:07+00:00
SMT_20220716_111633.gpx,11,2022-07-16 12:08:23+00:00 till 2022-07-16 12:25:43+00:00
SMT_20220716_111633.gpx,22,2022-07-16 12:09:06+00:00 till 2022-07-16 12:18:35+00:00
SMT_20220715_231621.gpx,21,2022-07-16 00:08:58+00:00 till 2022-07-16 00:12:03+00:00
SMT_20220726_111605.gpx,21,2022-07-26 11:18:19+00:00 till 2022-07-26 11:19:03+00:00
SMT_20220726_111605.gpx,12,2022-07-26 12:20:14+00:00 till 2022-07-26 12:21:53+00:00
SMT_20220726_111605.gpx,13,2022-07-26 12:06:52+00:00 till 2022-07-26 12:30:56+00:00
SMT_20220726_111605.gpx,22,2022-07-26 11:21:46+00:00 till 2022-07-26 11:24:39+00:00
SMT_20220726_111605.gpx,23,2022-07-26 11:26:09+00:00 till 2022-07-26 12:22:24+00:00
SMT_20220726_111605.gpx,24,2022-07-26 11:31:17+00:00 till 2022-07-26 12:25:10+00:00
SMT_20220726_231510.gpx,11,2022-07-26 23:31:39+00:00 till 2022-07-26 23:43:04+00:00
SMT_20220724_111936.gpx,11,2022-07-24 11:24:45+00:00 till 2022-07-24 11:27:03+00:00
SMT_20220724_111936.gpx,13,2022-07-24 12:23:16+00:00 till 2022-07-24 12:33:48+00:00
SMT_20220724_111936.gpx,24,2022-07-24 12:12:44+00:00 till 2022-07-24 12:29:27+00:00
SMT_20220820_231751.gpx,13,2022-08-20 23:41:03+00:00 till 2022-08-20 23:45:01+00:00
